# Hand-curated company -> headquarter overrides for the EITI-to-Orbis match (consumed by
# 3_33_match_eiti_companies_to_orbis.py, applied before any automatic matching).
# - match_substring: normalised substring, matched as a contiguous word-run inside the
#   normalised EITI company name. Longest substring wins (the script sorts by length),
#   so row order does not affect matching.
# - canonical_name: the operator/group the payment belongs to (display + Orbis lookup).
# - hq_iso2: headquarter country of that group (ISO2).
# - is_cbcr_filer: False = state-owned vehicle / national oil company that does NOT file
#   CbCR (its domestic payments must not land on a CbCR diagonal cell). Blank = consult
#   the Orbis universe's in_cbcr_universe flag for the canonical name.
# - group: the audit batch / country context the entry came from (documentation only).
# Provenance: the unmatched-value audit of eiti_company_hq_map.csv (~$300B recovered) +
# the A-Z country audit 2026-07-22 (docs/extractive/resource_correction_country_audit.md).
match_substring,canonical_name,hq_iso2,is_cbcr_filer,group
petro diamond,Mitsubishi (Petro-Diamond),JP,,Iraq (IRQ) — oil traders (huge magnitudes from SOMO sales)
nigeria petroleum development,NPDC (NNPC subsidiary),NG,False,"Nigeria (NGA) — state vehicles, NLNG, Chevron"
nigerian petroleum development,NPDC (NNPC subsidiary),NG,False,"Nigeria (NGA) — state vehicles, NLNG, Chevron"
nnpc crude oil marketing,NNPC COMD,NG,False,"Nigeria (NGA) — state vehicles, NLNG, Chevron"
nigeria liquefied natural gas,NLNG (NNPC + Shell + Total + Eni),NG,False,"Nigeria (NGA) — state vehicles, NLNG, Chevron"
nlng,NLNG,NG,False,"Nigeria (NGA) — state vehicles, NLNG, Chevron"
star deep water,Chevron Nigeria (Star Deep),US,,"Nigeria (NGA) — state vehicles, NLNG, Chevron"
indonesia petroleum,INPEX,JP,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
virginia indonesia,ConocoPhillips Indonesia (Vico),US,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
premier oil natuna,Harbour Energy (Premier Oil),GB,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
adaro,Adaro Energy Indonesia,ID,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
medco e p,Medco Energi,ID,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
medco e&p,Medco Energi,ID,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
kideco,Kideco Jaya Agung (Indika Energy),ID,,"Indonesia (IDN) — INPEX, Adaro, Medco, Kideco, Premier"
statoilhydro,Equinor,NO,,Norway (NOR) — variants of major operators
dong e p,Ørsted (DONG E&P),DK,,Norway (NOR) — variants of major operators
idemitsu,Idemitsu Kosan,JP,,Norway (NOR) — variants of major operators
gdf suez,ENGIE (GDF Suez),FR,,Norway (NOR) — variants of major operators
centrica,Centrica,GB,,Norway (NOR) — variants of major operators
sval energi,Sval Energi (HitecVision),NO,,Norway (NOR) — variants of major operators
solveig gas,Solveig Gas Norway,NO,,Norway (NOR) — variants of major operators
exxonmobile,ExxonMobil,US,,Norway (NOR) — variants of major operators
tengizchevroil,TengizChevroil (Chevron 50%),US,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
tengizshevroil,TengizChevroil (Chevron 50%),US,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
тенгизшевройл,TengizChevroil (Chevron 50%),US,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
karachaganak,Karachaganak (Eni operator),IT,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
карачаганак петролиум,Karachaganak Petroleum Operating (Eni operator),IT,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
mangistau,MangistauMunaiGas (KMG),KZ,False,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
cnpc aktobe,CNPC AktobeMunaiGas,CN,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
kazgermunai,KazGerMunai (CNPC/KMG),CN,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
kazchrome,Eurasian Resources (Kazchrome),LU,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
kazzinc,Glencore (Kazzinc),CH,,"Kazakhstan (KAZ) — TengizChevroil, Karachaganak JV, KMG subsidiaries"
erdenet mining,Erdenet Mining (state),MN,False,Mongolia (MNG) — state + Rio Tinto Oyu Tolgoi
erdenes tavan tolgoi,Erdenes Tavan Tolgoi (state),MN,False,Mongolia (MNG) — state + Rio Tinto Oyu Tolgoi
oyu tolgoi,Rio Tinto (Oyu Tolgoi),GB,,Mongolia (MNG) — state + Rio Tinto Oyu Tolgoi
tavantolgoi,Erdenes Tavan Tolgoi (state),MN,False,Mongolia (MNG) — state + Rio Tinto Oyu Tolgoi
ukrgazvydobuvannia,Ukrgazvydobuvannya (Naftogaz),UA,False,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
naftogazvydobuvannia,Naftogazvydobuvannya,UA,False,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
ukrnaftoburinnia,Ukrnaftoburinnia,UA,False,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
iron ore enrichment,Iron Ore Enrichment Works (Metinvest),UA,,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
southern mining factory,Southern Mining (Metinvest),UA,,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
snh fonctionnement,SNH (state),CM,False,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
snh mandate,SNH (state),CM,False,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
pecten cameroun,"Shell Cameroon (Pecten, sold)",GB,,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
cameroon oil transportation,COTCO (ExxonMobil/Petronas/Chad),US,False,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
apcc,Addax Petroleum Cameroon,CN,,Ukraine (UKR) — Naftogaz subsidiaries (state) and iron ore enrichment
cerrejon,"Glencore (Cerrejón, sole owner from 2022)",CH,,"Colombia (COL) — Cerrejón, Drummond, Pacific, Occidental, Glencore Prodeco"
drummond,Drummond Coal,US,,"Colombia (COL) — Cerrejón, Drummond, Pacific, Occidental, Glencore Prodeco"
pacific exploration,Frontera Energy (Pacific Exploration),CA,,"Colombia (COL) — Cerrejón, Drummond, Pacific, Occidental, Glencore Prodeco"
occidental,Occidental Petroleum (Oxy),US,,"Colombia (COL) — Cerrejón, Drummond, Pacific, Occidental, Glencore Prodeco"
grupo prodeco,Glencore (Prodeco),CH,,"Colombia (COL) — Cerrejón, Drummond, Pacific, Occidental, Glencore Prodeco"
gran tierra,Gran Tierra Energy,CA,,"Colombia (COL) — Cerrejón, Drummond, Pacific, Occidental, Glencore Prodeco"
southern peru copper,Grupo México (Southern Copper),MX,,Peru (PER) — Southern Peru Copper (Grupo México)
hunt oil company of peru,Hunt Oil,US,,Peru (PER) — Southern Peru Copper (Grupo México)
ecuacorriente,Tongling/CRCC (Mirador),CN,,"Ecuador (ECU) — Tongling/CRCC Chinese miners, Lundin Gold"
explorcobres,Tongling/CRCC (San Carlos Panantza),CN,,"Ecuador (ECU) — Tongling/CRCC Chinese miners, Lundin Gold"
dpmecuador,Lumina Gold,CA,,"Ecuador (ECU) — Tongling/CRCC Chinese miners, Lundin Gold"
aurelian ecuador,Lundin Gold (Aurelian),CA,,"Ecuador (ECU) — Tongling/CRCC Chinese miners, Lundin Gold"
novomining,Codelco / Novomining JV,CL,,"Ecuador (ECU) — Tongling/CRCC Chinese miners, Lundin Gold"
odin mining,Odin Mining,CA,,"Ecuador (ECU) — Tongling/CRCC Chinese miners, Lundin Gold"
congorep,TotalEnergies (CONGOREP),FR,,Republic of Congo (COG) — TotalEnergies Congorep + Perenco + CMS Nomeco
cms nomeco,CMS Energy / Nuevo Energy,US,,Republic of Congo (COG) — TotalEnergies Congorep + Perenco + CMS Nomeco
nuevo congo,Nuevo Energy Congo,US,,Republic of Congo (COG) — TotalEnergies Congorep + Perenco + CMS Nomeco
murphy west africa,Murphy Oil (West Africa),US,,Republic of Congo (COG) — TotalEnergies Congorep + Perenco + CMS Nomeco
philia ,Philia (commodities trader),CH,,Republic of Congo (COG) — TotalEnergies Congorep + Perenco + CMS Nomeco
daewoo international,Posco International (Daewoo),KR,,"Myanmar (MMR) — Daewoo, Posco, Petronas Carigali, gas transportation"
posco daewoo,Posco International,KR,,"Myanmar (MMR) — Daewoo, Posco, Petronas Carigali, gas transportation"
pc myanmar,Petronas Carigali (Myanmar),MY,,"Myanmar (MMR) — Daewoo, Posco, Petronas Carigali, gas transportation"
moattama gas,Moattama Gas Transportation (consortium),MM,False,"Myanmar (MMR) — Daewoo, Posco, Petronas Carigali, gas transportation"
taninthayi pipeline,Taninthayi Pipeline (consortium),MM,False,"Myanmar (MMR) — Daewoo, Posco, Petronas Carigali, gas transportation"
kumul petroleum,Kumul Petroleum (PNG state),PG,False,"PNG (Papua New Guinea) — Kumul, Ok Tedi, state"
ok tedi,Ok Tedi Mining (PNG state),PG,False,"PNG (Papua New Guinea) — Kumul, Ok Tedi, state"
mineral resources cmca,CMCA / OK Tedi (state),PG,False,"PNG (Papua New Guinea) — Kumul, Ok Tedi, state"
npcp,National Petroleum Co PNG (state),PG,False,"PNG (Papua New Guinea) — Kumul, Ok Tedi, state"
zangezur,Zangezur Copper-Molybdenum (Vallex/CRONIMET/GeoProMining),RU,,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
zangezour,Zangezur Copper-Molybdenum,RU,,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
geopromining,GeoProMining Gold,RU,,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
teghout,Teghout (Vallex),RU,,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
chaarat kapan,Chaarat Gold Holdings,GB,,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
agarak copper molybdenum,Agarak Copper-Molybdenum (state),AM,False,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
lydian armenia,Lydian International (suspended),CA,,"ARM (Armenia) — copper-molybdenum, Russian-controlled"
cementos del norte,Cementos del Norte (local),HN,False,HND (Honduras) — cement + Canadian miners
minerales de occidente,Aura Minerals (San Andrés),CA,,HND (Honduras) — cement + Canadian miners
american pacific honduras,American Pacific Resources,US,,HND (Honduras) — cement + Canadian miners
zarafshan,Zarafshon (China Nonferrous JV),CN,,TJK (Tajikistan) — Chinese-state JVs
zarafshon,Zarafshon (China Nonferrous JV),CN,,TJK (Tajikistan) — Chinese-state JVs
pakrut,Pakrut Gold (Zijin),CN,,TJK (Tajikistan) — Chinese-state JVs
tajik chinese mining,Tajik-Chinese Mining JV,CN,,TJK (Tajikistan) — Chinese-state JVs
huaksin gayur cement,Huaxin Gayur Cement,CN,,TJK (Tajikistan) — Chinese-state JVs
bankers petroleum,Geo-Jade Petroleum (Bankers),CN,,"ALB (Albania) — Geo-Jade, Kurum, state vehicles"
kurum international,Kurum Holding,TR,,"ALB (Albania) — Geo-Jade, Kurum, state vehicles"
kesh ,KESH (state power),AL,False,"ALB (Albania) — Geo-Jade, Kurum, state vehicles"
albpetrol,Albpetrol (state),AL,False,"ALB (Albania) — Geo-Jade, Kurum, state vehicles"
stream oil,Stream Oil & Gas (defunct US),US,,"ALB (Albania) — Geo-Jade, Kurum, state vehicles"
kumtor,"Centerra Gold (Kumtor, nationalised 2022)",CA,,"KGZ (Kyrgyzstan) — Centerra Gold (Kumtor), Zijin, KAZ Minerals"
altynken,Zijin Mining (Altynken),CN,,"KGZ (Kyrgyzstan) — Centerra Gold (Kumtor), Zijin, KAZ Minerals"
kaz minerals bozymchak,KAZ Minerals (Bozymchak),GB,,"KGZ (Kyrgyzstan) — Centerra Gold (Kumtor), Zijin, KAZ Minerals"
societe nationale operations petrolieres,PETROCI (state),CI,False,"CIV (Côte d'Ivoire) — PETROCI (descriptive), Foxtrot, Endeavour"
operations petrolieres cote ivoire,PETROCI (state),CI,False,"CIV (Côte d'Ivoire) — PETROCI (descriptive), Foxtrot, Endeavour"
foxtrot international,Foxtrot Petroleum / SECI,MU,,"CIV (Côte d'Ivoire) — PETROCI (descriptive), Foxtrot, Endeavour"
agbaou gold,"Endeavour Mining (Agbaou, sold Allied)",AU,,"CIV (Côte d'Ivoire) — PETROCI (descriptive), Foxtrot, Endeavour"
autres acheteurs,Other buyers (aggregate),CI,False,"CIV (Côte d'Ivoire) — PETROCI (descriptive), Foxtrot, Endeavour"
rosebel gold,IAMGOLD/Zijin (Rosebel),CN,,"SUR (Suriname) — Rosebel (IAMGOLD→Zijin), state"
staatsolie,Staatsolie Suriname (state),SR,False,"SUR (Suriname) — Rosebel (IAMGOLD→Zijin), state"
grassalco,NV Grassalco (state),SR,False,"SUR (Suriname) — Rosebel (IAMGOLD→Zijin), state"
aynak,MCC China (Aynak Copper),CN,,"AFG (Afghanistan) — Aynak (MCC China), state"
jcl aynak,MCC China (Aynak Copper),CN,,"AFG (Afghanistan) — Aynak (MCC China), state"
northern coal enterprise,Northern Coal (state),AF,False,"AFG (Afghanistan) — Aynak (MCC China), state"
afghan gas enterprise,Afghan Gas (state),AF,False,"AFG (Afghanistan) — Aynak (MCC China), state"
paladin africa,Paladin Energy (Kayelekera),AU,,"MWI (Malawi) — Paladin uranium, Indian timber"
raiply malawi,Raiply (Indian timber),IN,,"MWI (Malawi) — Paladin uranium, Indian timber"
vizara plantation,Vizara (local),MW,False,"MWI (Malawi) — Paladin uranium, Indian timber"
arcelor mittal,ArcelorMittal,LU,,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
nocal,NOCAL (state),LR,False,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
national oil company of liberia,NOCAL (state),LR,False,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
firestone liberia,Bridgestone (Firestone),JP,,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
china union,China Union (Bong Mines),CN,,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
oranlo petroleum,Oranto / Atlas Oranto,NG,False,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
oranto petroleum,Atlas Oranto,NG,False,"LBR (Liberia) — ArcelorMittal, NOCAL, China Union, Firestone"
minera san rafael,Pan American Silver (Escobal),CA,,"GTM (Guatemala) — Pan American Silver (Tahoe), Solway"
montana exploradora,Pan American Silver / Tahoe (Marlin),CA,,"GTM (Guatemala) — Pan American Silver (Tahoe), Solway"
compania guatemalteca de niquel,Solway (CGN Fenix),CH,,"GTM (Guatemala) — Pan American Silver (Tahoe), Solway"
kingho mining,Kingho Mining (Tonkolili),CN,,SLE (Sierra Leone) — additional
kingho investment,Kingho Investment,CN,,SLE (Sierra Leone) — additional
sierra minerals,Vimetco (Sierra Minerals),NL,,SLE (Sierra Leone) — additional
talisman sierra leone,Talisman Energy (defunct),CA,,SLE (Sierra Leone) — additional
minexco,Minexco (local),SL,False,SLE (Sierra Leone) — additional
equator exploration,Equator Exploration (Vaalco),US,,STP (São Tomé) — small operators
sinoangol,Sinopec-Sonangol JV,CN,,STP (São Tomé) — small operators
galp energy stp,Galp Energia (STP),PT,,STP (São Tomé) — small operators
galp energia stp,Galp Energia (STP),PT,,STP (São Tomé) — small operators
minera andina del sol,Barrick / Shandong Gold (Veladero),CN,,"ARG (Argentina) — Barrick/Shandong, AngloGold, Vista, Glencore"
cerro vanguardia,AngloGold Ashanti (Cerro Vanguardia),ZA,,"ARG (Argentina) — Barrick/Shandong, AngloGold, Vista, Glencore"
vista oil,Vista Energy (Argentina),AR,,"ARG (Argentina) — Barrick/Shandong, AngloGold, Vista, Glencore"
vista energy,Vista Energy,AR,,"ARG (Argentina) — Barrick/Shandong, AngloGold, Vista, Glencore"
minera alumbrera,Glencore/Yamana (Alumbrera),CH,,"ARG (Argentina) — Barrick/Shandong, AngloGold, Vista, Glencore"
beb erdgas,BEB (Shell + ExxonMobil JV),GB,,"DEU (Germany) — Wintershall DEA, RWE, BEB Shell+Exxon"
dea deutsche erdoel,Wintershall DEA Deutschland,DE,,"DEU (Germany) — Wintershall DEA, RWE, BEB Shell+Exxon"
dea deutsche erdol,Wintershall DEA Deutschland,DE,,"DEU (Germany) — Wintershall DEA, RWE, BEB Shell+Exxon"
rwe power,RWE,DE,,"DEU (Germany) — Wintershall DEA, RWE, BEB Shell+Exxon"
rwe gruppe,RWE,DE,,"DEU (Germany) — Wintershall DEA, RWE, BEB Shell+Exxon"
sudwestdeutsche salzwerke,Südwestdeutsche Salzwerke,DE,,"DEU (Germany) — Wintershall DEA, RWE, BEB Shell+Exxon"
erdenet ,Erdenet Mining (state + Rostec),MN,False,MNG (Mongolia) — additional Mongolian + Chinese
mongolyn alt mak,Mongolyn Alt MAK,MN,False,MNG (Mongolia) — additional Mongolian + Chinese
mongol ju yuan,Mongol Ju Yuan Li (Chinese),CN,,MNG (Mongolia) — additional Mongolian + Chinese
energy resources llc,Energy Resources (MCS Mongolia),MN,False,MNG (Mongolia) — additional Mongolian + Chinese
energyresources,Energy Resources (MCS),MN,False,MNG (Mongolia) — additional Mongolian + Chinese
boroo gold,Centerra Gold (Boroo),CA,,MNG (Mongolia) — additional Mongolian + Chinese
tavan tolgoi jsc,Tavan Tolgoi JSC (state),MN,False,MNG (Mongolia) — additional Mongolian + Chinese
assala,Carlyle Group (Assala Energy),US,,"GAB (Gabon) — Assala (Carlyle), Eramet COMILOG"
comilog,Eramet (COMILOG manganese),FR,,"GAB (Gabon) — Assala (Carlyle), Eramet COMILOG"
compagnie miniere de l ogooue,Eramet (COMILOG),FR,,"GAB (Gabon) — Assala (Carlyle), Eramet COMILOG"
oranje nassau,Oranje Nassau Energie,NL,,"GAB (Gabon) — Assala (Carlyle), Eramet COMILOG"
societe equatoriale des mines,SEM (state),GA,False,"GAB (Gabon) — Assala (Carlyle), Eramet COMILOG"
antapaccay,Glencore (Antapaccay),CH,,"PER (Peru) — Glencore Antapaccay/Tintaya, EITI aggregate buckets"
xstrata tintaya,Glencore (ex-Xstrata Tintaya),CH,,"PER (Peru) — Glencore Antapaccay/Tintaya, EITI aggregate buckets"
companias agregadas,Aggregate companies (Peru EITI),PE,False,"PER (Peru) — Glencore Antapaccay/Tintaya, EITI aggregate buckets"
companies with aggregate information,Aggregate companies (Peru EITI),PE,False,"PER (Peru) — Glencore Antapaccay/Tintaya, EITI aggregate buckets"
aggregate companies,Aggregate companies (Peru EITI),PE,False,"PER (Peru) — Glencore Antapaccay/Tintaya, EITI aggregate buckets"
petro kazakhstan kumkol,PetroKazakhstan (CNPC),CN,,KAZ (Kazakhstan) — additional spellings
buzachi operating,Buzachi Operating (CNPC+Lukoil),CN,,KAZ (Kazakhstan) — additional spellings
state owned enterprises,State-owned (PNG),PG,False,PNG (Papua New Guinea) — additional
morobe consolidated goldfields,Newcrest (Morobe Goldfields),AU,,PNG (Papua New Guinea) — additional
mcc ramu nico,MCC Ramu Nickel (CMC China),CN,,PNG (Papua New Guinea) — additional
gas resources gigira,ExxonMobil PNG / Oil Search,US,,PNG (Papua New Guinea) — additional
lavana,Lavana / PNG MRDC (state),PG,False,PNG (Papua New Guinea) — additional
philippine national oil,PNOC (state),PH,False,"PHL (Philippines) — PNOC (state), Prime Energy, Galoc"
pnoc exploration,PNOC Exploration (state),PH,False,"PHL (Philippines) — PNOC (state), Prime Energy, Galoc"
prime energy resources,Prime Energy / Total operator,GB,,"PHL (Philippines) — PNOC (state), Prime Energy, Galoc"
galoc production,Galoc Production / Otto Energy,AU,,"PHL (Philippines) — PNOC (state), Prime Energy, Galoc"
philsaga mining,Philsaga / TVI Pacific,CA,,"PHL (Philippines) — PNOC (state), Prime Energy, Galoc"
china international,Sinopec UNIPEC / China International (oil trader),CN,,"IRQ (Iraq) — oil traders (descriptive names; ""(UNIPEC...)"" is paren-stripped)"
reliance ,Reliance Industries (oil trader),IN,,"IRQ (Iraq) — oil traders (descriptive names; ""(UNIPEC...)"" is paren-stripped)"
conoco phillips,ConocoPhillips,US,,"IRQ (Iraq) — oil traders (descriptive names; ""(UNIPEC...)"" is paren-stripped)"
phillips ,ConocoPhillips / Phillips 66,US,,"IRQ (Iraq) — oil traders (descriptive names; ""(UNIPEC...)"" is paren-stripped)"
cepsa,CEPSA (Mubadala),AE,,"IRQ (Iraq) — oil traders (descriptive names; ""(UNIPEC...)"" is paren-stripped)"
zarafshon,Zarafshon (China Nonferrous JV),CN,,Tajikistan (TJK) Cyrillic
hukasin gayur,Huaxin Gayur Cement,CN,,Tajikistan (TJK) Cyrillic
khuaksin gayur,Huaxin Gayur Cement,CN,,Tajikistan (TJK) Cyrillic
pakrut,Pakrut Gold (Zijin),CN,,Tajikistan (TJK) Cyrillic
anzob,Anzob Mining (Tajik-American JV),US,,Tajikistan (TJK) Cyrillic
aprelevka,Aprelevka (Tajik-Canadian JV),CA,,Tajikistan (TJK) Cyrillic
fon yagnob,Fon-Yagnob (state coal),TJ,False,Tajikistan (TJK) Cyrillic
angishti tochik,Angishti Tochik (state),TJ,False,Tajikistan (TJK) Cyrillic
mangistaumunaigaz,MangistauMunaiGas (KMG),KZ,False,Kazakhstan (KAZ) Cyrillic
kazakhstanskii filial,Karachaganak Petroleum Operating (Eni),IT,,Kazakhstan (KAZ) Cyrillic
petroleium opereiting,Karachaganak Petroleum Operating (Eni),IT,,Kazakhstan (KAZ) Cyrillic
kazakhgaz,KazTransGas (KMG),KZ,False,Kazakhstan (KAZ) Cyrillic
kazmunaigaz,KazMunaiGas (state),KZ,False,Kazakhstan (KAZ) Cyrillic
ukrgazvidobuvannia,Ukrgazvydobuvannya (Naftogaz),UA,False,Ukraine (UKR) Cyrillic
naftogazvidobuvannia,Naftogazvydobuvannya,UA,False,Ukraine (UKR) Cyrillic
kumtor gold,Centerra Gold (Kumtor),CA,,Kyrgyzstan (KGZ) Cyrillic
altynken,Zijin Mining (Altynken),CN,,Kyrgyzstan (KGZ) Cyrillic
kaz minerals bozymchak,KAZ Minerals (Bozymchak),GB,,Kyrgyzstan (KGZ) Cyrillic
societe nationale d operations petrolieres,PETROCI (state),CI,False,CIV PETROCI variants
operations petrolieres cote d ivoire,PETROCI (state),CI,False,CIV PETROCI variants
nationale d operations petrolieres,PETROCI (state),CI,False,CIV PETROCI variants
ste mines tongon,Barrick Gold (Tongon),CA,,CIV PETROCI variants
lgl mines ci,LGL Mines CI,CI,False,CIV PETROCI variants
newcrest hire,Newcrest Mining,AU,,CIV PETROCI variants
tadzhiksko kitaiskaia,Tajik-Chinese Mining (China Nonferrous),CN,,TJK Russian-transliterated additions
tadzhikskii metalurgicheskii,Tajik Metallurgical Plant (state),TJ,False,TJK Russian-transliterated additions
sementi tochik,Cementi Tochik (state cement),TJ,False,TJK Russian-transliterated additions
semanti tojik,Cementi Tochik (state cement),TJ,False,TJK Russian-transliterated additions
bohtar operating,Bohtar Operating (Total/CNPC),FR,,TJK Russian-transliterated additions
aggregated companies not submitting,Aggregated companies (Malawi EITI),MW,False,MWI placeholders + small operators
terrastone,Terrastone (local),MW,False,MWI placeholders + small operators
optichem,Optichem (Malawi),MW,False,MWI placeholders + small operators
rakgas,RAKGAS (UAE),AE,,MWI placeholders + small operators
mota engil,Mota-Engil,PT,,MWI placeholders + small operators
other mining companies,Other mining companies (SLE EITI aggregate),SL,False,SLE additional
s d steel tonkolili,Shandong Iron & Steel (Tonkolili),CN,,SLE additional
african petroleum,African Petroleum Corp,AU,,SLE additional
a z petroleum,A-Z Petroleum,SL,False,SLE additional
elenilto,Elenilto Minerals,IL,,LBR additional
mng gold liberia,MNG Gold (Turkish),TR,,LBR additional
mng gold exploration,MNG Gold (Turkish),TR,,LBR additional
liberia agricultural,Liberian Agricultural Company (rubber),LR,False,LBR additional
liberian agricultural,Liberian Agricultural Company (rubber),LR,False,LBR additional
putu iron ore,Severstal / Putu Iron Ore,RU,,LBR additional
cgn ,Solway (CGN Fenix Nickel),CH,,GTM additional
 cgn,Solway (CGN Fenix Nickel),CH,,GTM additional
guaxilan,Guaxilán (local),GT,False,GTM additional
city peten,City Petén Oil,US,,GTM additional
pena rubia,Peña Rubia (local),GT,False,GTM additional
silice centroamerica,Silice de Centroamerica (local),GT,False,GTM additional
maya niquel,Maya Niquel (local),GT,False,GTM additional
